index,Name,Movie Word Count,Movie Characters Count,Link,Year,Director,Studio,Running Time,ProducedBy,WrittenBy,ScreenplayBy,StoryBy,Starring,MusicBy,Cinematography,EditedBy,DistributedBy,ReleaseDate,Release Day,BoxOffice
148,Super Duper,4,11,https://en.wikipedia.org/wiki/Super_Duper_(film),2019,AK,Flux Films,118 minutes, Shalini Vasan,0,0,0," Dhruva
Indhuja
Sha Ra", Divakara Thiyagarajan," Sundar Ram Krishnan
Thalapathy Rathnam",0,0,20-Sep-19,6,0
149,Namma Veettu Pillai,2,19,https://en.wikipedia.org/wiki/Namma_Veettu_Pillai,2019,Pandiraj,Sun Pictures,152 minutes, Kalanithi Maran, Pandiraj,0,0," Aishwarya Rajesh
Sivakarthikeyan
Anu Emmanuel", D. Imman, Nirav Shah, Ruben, Sun Pictures,"September 27, 2019",6, ₹760 million
150,Thittam Poattu Thirudura Kootam,3,31,https://en.wikipedia.org/wiki/Thittam_Poattu_Thirudura_Kootam,2019,Sudhar,Two Movie Buffs,117 minutes, Raghunathan. P.S., Sudhar,0,0," Chandran
Satna Titus
Parthiban
Chaams
Daniel Annie Pope", Ashwath, Martin Joe, Venkat Ramanan. K.J., SDC Picturez,27-Sep-19,6,0
151,100% Kadhal,4,11,https://en.wikipedia.org/wiki/100%25_Kadhal,2019,M. M. Chandramouli,"Creative Cinemas NY, NJ Entertainment",0," Sukumar
Bhuvana Chandramouli",0,0, Sukumar," G. V. Prakash Kumar
Shalini Pandey", G. V. Prakash Kumar, Ganesh Rajavelu, Mu. Kasi Viswanathan,0,04-Oct-19,6,0
152,Asuran,2,6,https://en.wikipedia.org/wiki/Asuran_(2019_film),2019,Vetrimaaran,V Creations,139 minutes, Kalaippuli S. Thanu, SuKa (dialogues), Vetrimaaran,0," Dhanush
Manju Warrier", G. V. Prakash Kumar, Velraj, R. Ramar,0,04-Oct-19,6, See Finance section.
153,Aruvam,1,6,https://en.wikipedia.org/wiki/Aruvam,2019,Sai Sekhar,Trident Arts,128 minutes," R. Soundarya
Deepa Iyer", Sai Sekhar,0,0," Siddharth
Catherine Tresa", S. Thaman, N. K. Ekambaram, Praveen K. L.,0,11-Oct-19,6,0
154,Petromax,1,8,https://en.wikipedia.org/wiki/Petromax_(film),2019,Rohin Venkatesan,Eagle's Eye Production,128 minutes, A. Kumar, G. R. Surendarnath,0,0, Tamannaah, Ghibran, Dani Raymond, Leo John Paul,0,11-Oct-19,6,0
155,Puppy,1,5,https://en.wikipedia.org/wiki/Puppy_(2019_film),2019,Natty Dev,Vels Film International,104 minutes, Ishari K. Ganesh, Nattu Dev,0,0," Varun
Samyuktha Hegde
Yogi Babu", Dharan Kumar, Deepak Kumar Padhy, Richie,0,11-Oct-19,6, 4 crores
156,Bow Bow,1,7,https://en.wikipedia.org/wiki/Bow_Bow,2019,S. Pradeep Kilikar,London Talkies,0, K. Natrajan,0, Pradeep Kilikar,0, Master Ahaan," Marc D. Muse
A. Denis Vallaban", K. Arun Prasath," E. Gopal
S. Anand",0,18-Oct-19,6,0
157,Kaaviyyan,2,9,https://en.wikipedia.org/wiki/Kaaviyyan,2019,Sarathi,2m Cinemas,109 minutes, K.V. Shabarreesh,0,0,0," Shaam
Sridevi Kumar
Athmiya Rajan", Syam Mohan MM, N.S. Raajesh Kumar, Arun Thomas AKD, SDC Picturez,18-Oct-19,6,0
158,Bigil,1,5,https://en.wikipedia.org/wiki/Bigil,2019,Atlee,AGS Entertainment,178 minutes," Kalpathi S. Aghoram
Kalpathi S. Ganesh
Kalpathi S. Suresh", Atlee Kumar, Atlee Kumar, Atlee Kumar," Vijay
Nayanthara
Jackie Shroff
Kathir
Vivek"," Songs:
A. R. Rahman
Score:
A. R. Rahman
Qutub-E-Kripa", G. K. Vishnu, Ruben, Screen Scene Media Entertainment,25-Oct-19,6, ₹285–300 crore
159,Kaithi,1,6,https://en.wikipedia.org/wiki/Kaithi_(2019_film),2019,Lokesh Kanagaraj,Dream Warrior Pictures,144 minutes," S. R. Prakashbabu
S. R. Prabhu
Thiruppur Vivek"," Lokesh Kanagaraj
Pon Parthiban",0,0," Karthi
Narain
Arjun Das
George Maryan
Dheena", Sam C. S., Sathyan Sooryan, Philomin Raj,0,25-Oct-19,6, ₹105 crore
160,Butler Balu,1,11,https://en.wikipedia.org/wiki/Butler_Balu,2019,M. L. Suthir,Thozhaa Cine Creations,0, Mukesh, SP Rajkumar (dialogues),0,0," Gautham Krishna
Shalini Mayil", Ganesh Raghavendra, Paul Livingston,0,0,08-Nov-19,6,0
161,Miga Miga Avasaram,2,18,https://en.wikipedia.org/wiki/Miga_Miga_Avasaram,2019,Suresh Kamatchi,V House Production,96 minutes," Suresh Kamatchi
Vetrimaaran", K. P. Jagan,0,0," Sri Priyanka
Harish", Ishaan Dev, Balabharani, R. Sudharsan, Clap Board Production,08-Nov-19,6,0
162,Thavam,3,6,https://en.wikipedia.org/wiki/Thavam_(2019_film),2019,"Vijay Anand, Suriyan",Ashif Film International,0, Vasi Asif," R Vijay Anand
AR Suriyan",0,0," Vasi Ashif
Pooja Shree
Seeman", Srikanth Deva,0,0,0,08-Nov-19,6,0
163,Action,1,6,https://en.wikipedia.org/wiki/Action_(2019_film),2019,Sundar C,Trident Arts,157 minutes, R. Ravindran," Subha
Badri
(Dialogues)"," Sundar C.
Venkat Ragavan
Subha", Sundar C.,"
Vishal
Tamannaah
Aishwarya Lekshmi
Akanksha Puri
Ramki
Yogi Babu
Kabir Duhan Singh", Hiphop Tamizha, Dudley, N. B. Srikanth,0,15-Nov-19,6,0
164,Sangathamizhan,1,14,https://en.wikipedia.org/wiki/Sangathamizhan,2019,Vijay Chander,Vijaya Productions,150 minutes, Bharathi Reddy, Vijay Chander,0,0,"
Vijay Sethupathi
Raashi Khanna
Nivetha Pethuraj", Vivek-Mervin, R. Velraj, Praveen K. L., Libra Productions,15-Nov-19,6,0
165,Adithya Varma,1,13,https://en.wikipedia.org/wiki/Adithya_Varma,2019,Gireesaya,E4 Entertainment,164 minutes, Mukesh Mehta,0,0, Sandeep Vanga," Dhruv Vikram
Banita Sandhu"," Soundtrack:
Radhan
Score:
Harshavardhan Rameshwar", Ravi K. Chandran, Vivek Harshan, E4 Entertainment,"
21 November 2019 (worldwide)
22 November 2019 (India)",6,0
166,K. D.,2,5,https://en.wikipedia.org/wiki/K.D._(film),2019,Madhumitha,Yoodlee Films,123 minutes," Vikram Mehra
Siddharth Anand Kumar", Madhumita, Sabarivaasan Shanmugam, Madhumita," Mu Ramaswamy
Nagavishal", Karthikeya Murthy, Meyyendiran Kempuraj, Vijay Venkataramanan, YNOTX,22-Nov-19,6,0
167,Maggy,2,5,,2019,Kartikeyen,Sai Ganesh Pictures,,,,,,,,,,,,7,
168,Panam Kaaikkum Maram,1,20,,2019,JP,Dharsh Show Company,,,,,,,,,,,,7,
169,Pei Vaala Pudicha Kadha,3,23,,2019,Mankavasagam,Konoornadu Films,,,,,,,,,,,,7,
170,Adutha Saattai,4,14,https://en.wikipedia.org/wiki/Adutha_Saattai,2019,M. Anbazhagan,11: 11 Productions,129 minutes," Samuthirakani
Dr Prabhu Thilak", M. Anbazhagan, Samuthirakani,0," Samuthirakani
Thambi Ramaiah
Yuvan
Athulya Ravi", Justin Prabhakaran, Rasamathi, Nirmal, Sri Vaari Film,29-Nov-19,6,0
171,Azhiyatha Kolangal 2,2,20,https://en.wikipedia.org/wiki/Azhiyatha_Kolangal_2,2019,M. R. Bharathi,Charulatha Films,108 minutes," Easwari Rao
Deva Sinha",0,0,0," Prakash Raj
Revathi
Archana", Aravind Siddhartha, Rajesh K. Nair, Mu. Kasi Viswanathan,0,29-Nov-19,6,0
172,Enai Noki Paayum Thota,3,22,https://en.wikipedia.org/wiki/Enai_Noki_Paayum_Thota,2019,Gautham Menon,Ondraga Entertainment,0," Ishari K. Ganesh
Gautham Menon
Venkat Somasundaram
Reshma Ghatala", Gautham Menon,0,0," Dhanush
Megha Akash", Darbuka Siva," Jomon T. John
Manoj Paramahamsa
S.R. Kathir",0, Vels Film International,29-Nov-19,6,0
173,Market Raja MBBS,4,16,https://en.wikipedia.org/wiki/Market_Raja_MBBS,2019,Saran,Surabi Films,0, S. Mohan, Saran, Saran, Saran,"
Arav
Kavya Thapar
Nikesha Patel", Simon K. King, K. V. Guhan, Gopi Krishna,0,29-Nov-19,6,0
174,Theemaikum Nanmai Sei,3,21,,2019,Raghava Hari Kesava,MS Banana Films,,,,,,,,,,,,7,
175,Dhanusu Raasi Neyargale,3,23,https://en.wikipedia.org/wiki/Dhanusu_Raasi_Neyargale,2019,Sanjay Bharathi,Sree Gokulam Movies,120 minutes, Gokulam Gopalan, Sanjay Bharathi,0,0,"
Harish Kalyan
Digangana Suryavanshi
Reba Monica John", Ghibran, PK Varma, Kubendran,0,06-Dec-19,6,0
176,Irandam Ulagaporin Kadaisi Gundu,3,32,https://en.wikipedia.org/wiki/Irandam_Ulagaporin_Kadaisi_Gundu,2019,Athiyan Athirai,Neelam Productions,137 minutes, Pa. Ranjith, Athiyan Athirai,0,0," Dinesh
Anandhi", Tenma, Kishore Kumar, Selva RK,0,06-Dec-19,6,0
177,Iruttu,4,6,https://en.wikipedia.org/wiki/Iruttu,2019,V. Z. Durai,Screen Scene Media Entertainment,133 minutes," Sundar Arumugam, Parthasarathi Gokulyadav","
V. Z. Durai
Indra Soundar Rajan (dialogues)", V. Z. Durai,0," Sundar C.
Sakshi Choudhary
Dhansika
VTV Ganesh", Girishh G., E. Krishnasamy, R. Sudharsan,0,06-Dec-19,6,0
178,Jada,1,4,https://en.wikipedia.org/wiki/Jada_(2019_film),2019,Kumaran,The Poet Studios,132 minutes, Vignesh Rajagopal,0,0,0," Kathir
Roshini Prakash", Sam C. S, A.R. Soorya, Richard Kevin A,0,06-Dec-19,6,0
179,50 Roova,1,8,,2019,G. Panneerselvam,Ansari Media,,,,,,,,,,,,7,
180,Capmaari,2,8,https://en.wikipedia.org/wiki/Capmaari,2019,S. A. Chandrasekhar,Green Signal,133 minutes,0, S. A. Chandrasekhar,0,0," Jai
Athulya Ravi
Vaibhavi Shandilya", Siddharth Vipin, M. Jeevan, Prasanna GK,0,13-Dec-19,6,0
181,Champion,1,8,https://en.wikipedia.org/wiki/Champion_(2019_film),2019,Suseenthiran,Kalanjiyam Cine Arts,107 minutes, Raghavi, Suseenthiran, Suseenthiran,0," Vishwa
Mirnalini Ravi
Narain
Manoj Bharathiraja", Arrol Corelli, Sujith Sarang, Thiyagu,0,13-Dec-19,6,0
182,Chennai 2 Bangkok,1,17,https://en.wikipedia.org/wiki/Chennai_2_Bangkok,2019,Sathish Santhosh,Jai Balaji Movie Makers,134 minutes," Sheik Mohammed
Shahjahan K
Ananth K", Sathish Santhosh (Dialogues), Aishwarya Sathish, Aishwarya Sathish,"
Jai Akash
Sony Charishta"," U. K. Murali (Songs)
Score:
Akshay Jey
Divakar", Devaraj," Prem
S Durgash",0,13-Dec-19,6,0
183,Kaalidas,3,8,https://en.wikipedia.org/wiki/Kaalidas,2019,Sri Senthil,Incredible Productions,126 minutes," V. Bhargavi
M. S. Sivanesan
Mani Dinakaran", Sri Senthil,0,0," Bharath
Ann Sheetal", Vishal Chandrasekhar, Suresh Bala, Bhuvan Srinivasan," PKM.S.Abishek Eashwaran

Blue Whale Entertainments",13-Dec-19,6,0
184,Karuthukalai Pathivu Sei,1,24,https://en.wikipedia.org/wiki/Karuthukalai_Pathivu_Sei,2019,Rahul Paramahamsa,RPM Cinemas,101 minutes,0,0,0,0," SSR Aryan
Upasana RC", Ganesh Raghavendra, Manohar, Ganesh Kumar,0,13-Dec-19,6,0
185,Manguni Pandiyargal,3,19,,2019,Jebaa,Golden Crow Films,,,,,,,,,,,,7,
186,Marina Puratchi,2,15,https://en.wikipedia.org/wiki/Marina_Puratchi,2019,M. S. Raj,J Studios,0, Jesu Sundarraman,0,0,0," Naveen Kumar
Shruti Reddy", Al Rufian, R. Velraj, Deepak,0,13-Dec-19,6,0
187,Thirupathi Samy Kudumbam,2,24,,2019,Suresh Shanmugam,JJ Good Films,,,,,,,,,,,,7,
188,RK Nagar,3,8,https://en.wikipedia.org/wiki/RK_Nagar_(film),2019,Saravana Rajan,Black Ticket Company,132 minutes," Badri Kasthuri
V. Rajalakshmi",0,0,0," Vaibhav
Sana Althaf
Anjena Kirti
Sampath Raj", Premgi Amaren, Venkatesh S, Praveen K. L.,0,17-Dec-19,3,0
189,Hero,2,4,https://en.wikipedia.org/wiki/Hero_(2019_Tamil_film),2019,P. S. Mithran,KJR Studios,164 minutes,"
Kotapadi J. Rajesh
T. Ezhumalaiyan","
P. S. Mithran
Pon Parthiban
Savari Muthu
Antony Bhagyaraj",0,0,"
Sivakarthikeyan
Arjun
Abhay Deol
Kalyani Priyadarshan
Ivana", Yuvan Shankar Raja, George C. Williams, Ruben,0,20-Dec-19,6,0
190,Khyla,1,5,,2019,Baskar Sinouvassane,Budobas International Films,,,,,,,,,,,,7,
191,Paramu,1,6,,2019,Manick Jai,Batrinath Lingeshwar Production,,,,,,,,,,,,7,
192,Thambi,1,6,https://en.wikipedia.org/wiki/Thambi_(2019_film),2019,Jeethu Joseph,Viacom 18,151 minutes," Viacom 18 Motion Pictures
Suraj Sadanah",0," Rensil D'Silva
Sameer Arora
Jeethu Joseph
K. Manikandan"," Rensil D'Silva
Sameer Arora"," Karthi
Jyothika
Sathyaraj
Nikhila Vimal", Govind Vasantha, R. D. Rajasekhar, V. S. Vinayak, Viacom 18 Motion Pictures,20-Dec-19,6,0
193,Virudhu,1,7,,2019,ADA Adhavan,AD Adi Photos,,,,,,,,,,,,7,
194,50/50,1,5,https://en.wikipedia.org/wiki/50/50_(2019_film),2019,Krishna Sai,Lipi Cine Crafts,0, V.N. Ranjith Kumar,0,0, Alexander," Sethu
Shruthi Ramakrishnan
Bavithra
Shreya Gupta", Dharan Kumar, R K Prathap, Raja Sethupathi, LIPI Cine Crafts,27-Dec-19,6,0
195,Naan Avalai Sandhitha Pothu,1,27,https://en.wikipedia.org/wiki/Naan_Avalai_Sandhitha_Pothu,2019,L. G. Ravichander,Cinema Platform,0, V. T. Rethishkumar,0,0,0," Santhosh Prathap
Chandini Tamilarasan", Jithesh Murugavel,0,0,0,27-Dec-19,6,0
196,Pancharaaksharam,4,16,https://en.wikipedia.org/wiki/Pancharaaksharam,2019,Balaji Vairamuthu,Paradox Productions,122 minutes, Vairamuthu, Balaji Vairamuthu,0,0," Santhosh Prathap
Madhu Shalini
Sana Althaf
Gokul Anand
Ashwin Jerome", K. S. Sundaramurthy, Yuva, Anand Geraldin,0,27-Dec-19,6,0
197,Sillu Karupatti,1,15,https://en.wikipedia.org/wiki/Sillu_Karupatti,2019,Halitha Shameem,Divine Productions,138 minutes," Venkatesh Velineni
Suriya (presenter)", Halitha Shameem,0,0,"
Samuthirakani
Sunainaa
Manikandan K
Nivedhithaa Sathish
Kravmaga Sreeram
Leela Samson
Sara Arjun
Rahul", Pradeep Kumar," Abinandhan Ramanujam
Manoj Paramahamsa
Vijay Kartik Kannan
Yamini Yagnamurthy", Halitha Shameem, 2D Entertainment,27-Dec-19,6,0
198,Udhay,2,5,,2019,Tamil Selvan,Archers Production,,,,,,,,,,,,7,
199,V1,1,2,https://en.wikipedia.org/wiki/V1_(film),2019,Pavel Navageethan,Positive Print Studios,114 minutes," Arvind Dharmaraj
N A Ramu
Sarvanan Ponraj",0,0,0," Ram Arun Castro
Vishnupriya Pillai", Ronnie Raphel, Krishnasekar T.S, C.S. Prem Kumar, Positive Print Studios,27-Dec-19,6,0
