index,Name,Movie Word Count,Movie Characters Count,Link,Year,Director,Studio,Running Time,ProducedBy,WrittenBy,ScreenplayBy,StoryBy,Starring,MusicBy,Cinematography,EditedBy,DistributedBy,ReleaseDate,Release Day,BoxOffice
83,Mr Local,1,8,https://en.wikipedia.org/wiki/Mr_Local,2019,M. Rajesh,Studio Green,154 minutes, K. E. Gnanavel Raja, M. Rajesh, M. Rajesh, M. Rajesh," Sivakarthikeyan
Nayanthara
Raadhika
Sathish
Yogi Babu
Narayan Lucky", Hiphop Tamizha," Dinesh Krishnan
Arthur A. Wilson (1 song)", Vivek Harshan," Tanvee Films
Sakthi Film Factory",17-May-19,6,0
84,Natpuna Ennanu Theriyuma,2,24,https://en.wikipedia.org/wiki/Natpuna_Ennanu_Theriyuma,2019,ShivaKumar Arvind,Libra Productions,0, Ravindhar Chandrasekaran,0,0,0," Kavin
Remya Nambeesan
Raju Jeyamohan
Arunraja Kamaraj
Ilavarasu", Dharan, Yuva, Nirmal,0,17-May-19,6,0
85,Lisaa,3,5,https://en.wikipedia.org/wiki/Lisaa,2019,Raju Vishwanath,PG Media Works,104 minutes, P. G. Muthiah, Raju Viswanath,0,0," Anjali
Sam Jones
Makarand Deshpande", Santhosh Dhayanidhi, PG Muthiah, SN Fazil,0,24-May-19,6,0
86,Neeya 2,1,7,https://en.wikipedia.org/wiki/Neeya_2,2019,L. K. Suresh,Jumbo Films,0, Sridhar Arunachalam, L. Suresh,0,0," Jai
Catherine Tresa
Raai Laxmi
Varalaxmi Sarathkumar", Shabir, Rajavel Mohan, Gopi Krishna,0,24-May-19,6,0
87,Oviyavai Vitta Yaru,2,19,https://en.wikipedia.org/wiki/Oviyavai_Vitta_Yaru,2019,Rajadurai,Velammal Cine Creations,0, Madurai Selvam,0,0,0," Sanjeevi
Oviya", Srikanth Deva, E.K. Nagarajan, P. Sai Suresh,0,24-May-19,6,0
88,Owdatham,3,8,,2019,Ramani,Red Chilly Black Pepper Cinemas,,,,,,,,,,,,7,
89,Perazhagi ISO,1,13,https://en.wikipedia.org/wiki/Perazhagi_ISO,2019,C. Vijayan,Creamines Movie Makers,0,0,0,0,0," Shilpa Manjunath
Vivek Raj
Sachu", Charles Dhana," DJ Nauzad
Sabarish Jayakumar", Ilavarasan,0,24-May-19,6,0
90,Rusithu Paar En Anbe,2,20,,2019,Matthew Yuvani,Holyfire Films,,,,,,,,,,,,7,
91,Vannakili Bharathi,4,18,,2019,Igore,Film Puja,,,,,,,,,,,,7,
92,Devi 2,2,6,https://en.wikipedia.org/wiki/Devi_2,2019,A. L. Vijay,GV Films,126 minutes," R. Ravindran
Tamil:
K. Ganesh
Telugu:
Abhishek Nama",0," A. L. Vijay
Sathya",0,"
Prabhu Deva
Tamannaah
Kovai Sarala
Nandita Swetha
Dimple Hayathi", Sam C. S., Ayananka Bose, Anthony, Screen Scene Media Entertainment,31-May-19,6,0
93,NGK,2,3,https://en.wikipedia.org/wiki/NGK_(film),2019,Selvaraghavan,Dream Warrior Pictures,148 minutes,"
S. R. Prakashbabu
S. R. Prabhu", Selvaraghavan,0,0,"
Suriya
Sai Pallavi
Rakul Preet Singh", Yuvan Shankar Raja, Sivakumar Vijayan, Praveen K. L., Reliance Entertainment,31-May-19,6,0
94,Thiruttu Kalyanam,1,17,,2019,Shakthivelan,Sri Senthoor Pictures,,,,,,,,,,,,7,
95,7,2,1,https://en.wikipedia.org/wiki/7_(film),2019,Nizar Shafi,Kiran Studios,117 minutes," Ramesh Varma
(Telugu version)
MS Sharavanan
(Tamil version)"," Nizar Shafi
Ramesh Varma",0,0," Havish
Rahman
Nandita Swetha
Regina Cassandra
Pujita Ponnada
Tridha Choudhury
Anisha Ambrose
Aditi Arya", Chaitan Bharadwaj, Nizar Shafi, Praveen K. L., Abhishek Pictures,05-Jun-19,4,0
96,Kolaigaran,1,10,https://en.wikipedia.org/wiki/Kolaigaran,2019,Andrew Louis,Diya Movies,122 minutes, B.Pradip, Andrew Louis,0,0," Arjun
Vijay Antony
Ashima Narwal
Seetha
Nassar", Simon K. King, Mukes, Richard Kevin, BOFTA Media Works,07-Jun-19,6,0
97,Game Over,1,9,https://en.wikipedia.org/wiki/Game_Over_(2019_film),2019,Ashwin Saravanan,Y NOT Studios,97 minutes," S. Sashikanth
Chakravarthy Ramachandra"," Ashwin Saravanan
Kaavya Ramkumar
(Tamil dialogues)
Venkat Kacharla
(Telugu dialogues)",0," Ashwin Saravanan
Kaavya Ramkumar"," Taapsee Pannu
Vinodhini Vaidyanathan
Anish Kuruvilla
Sanchana Natarajan
Ramya Subramanian
Parvathi T.", Ron Ethan Yohann, A. Vasanth, Richard Kevin," YNOTX
AP International",14-Jun-19,6, ₹15.91crore
98,Nenjamundu Nermaiyundu Odu Raja,2,31,https://en.wikipedia.org/wiki/Nenjamundu_Nermaiyundu_Odu_Raja,2019,Karthik Venugopalan,Sivakarthikeyan Productions,0, Sivakarthikeyan,0,0,0," Rio Raj
Shirin Kanchwala
RJ Vigneshkanth
Radha Ravi
Nanjil Sampath
Vivek Prasanna
Mayilsamy", Shabir, U. K. Senthil Kumar, Fenny Oliver - Tamil Arasan,0,14-Jun-19,6,0
99,Suttu Pidikka Utharavu,4,22,https://en.wikipedia.org/wiki/Suttu_Pidikka_Utharavu,2019,Ramprakash Rayappa,Kalpataru Pictures,106 minutes, P.K. Ram Mohan, Ramprakash Rayappa,0,0," Vikranth
Mysskin
Athulya Ravi
Suseenthiran", Jakes Bejoy, Sujith Sarang, G. Ramarao,0,14-Jun-19,6,0
100,Mosadi,3,6,https://en.wikipedia.org/wiki/Mosadi,2019,K. Jagatheesan,JCS Movies,0,0,0,0,0," Viju Ayyapasamy
Pallavi Dora", Shajahan, R. Manikandan," S.M.V Subbu
Gopi Ra Nath",0,21-Jun-19,6,0
101,Thumbaa,1,7,https://en.wikipedia.org/wiki/Thumbaa,2019,Harish Ram,Regal Reels,123 minutes, Surekha Nyapati," Harish Ram L. H.
Ram Raghav
Prabagaran AR",0,0," Darshan
Keerthi Pandian
Dheena"," Anirudh Ravichander
Vivek-Mervin
Santhosh Dhayanidhi", Naren Elan, R. Kalaivanan, KJR Studios,21-Jun-19,6,0
102,Sindhubaadh,1,11,https://en.wikipedia.org/wiki/Sindhubaadh,2019,S. U. Arun Kumar,"Vansan Movies, K Productions",133 minutes," S. N. Rajarajan
Shan Sutharsan", S. U. Arun Kumar,0,0," Vijay Sethupathi
Anjali", Yuvan Shankar Raja, Vijay Karthik Kannan, Ruben, Clap Board Production,27-Jun-19,5,0
103,Dharmaprabhu,1,12,https://en.wikipedia.org/wiki/Dharmaprabhu,2019,S. Muthukumaran,Sri Vaari Films,135 minutes, P Ranganathan, Muthukumaran,0,0," Yogi Babu
Radha Ravi
Janani Iyer
Rekha
Sam Jones
Ramesh Thilak
Rajendran", Justin Prabhakaran, Mahesh Muthuswami, San Lokesh,0,28-Jun-19,6,0
104,House Owner,1,11,https://en.wikipedia.org/wiki/House_Owner,2019,Lakshmy Ramakrishnan,Monkey Creative Labs,111 minutes," Gopalakrishnan Ramakrishnan, Pushkar Manohar, RajiMalathy", Lakshmy Ramakrishnan,0,0," Kishore
Sriranjini
Pasanga Kishore
Lovelyn", Mohamaad Ghibran, Krishna Sekhar TS, CS Prem Kumar,0,28-Jun-19,6,0
105,Jiivi,2,5,https://en.wikipedia.org/wiki/Jiivi,2019,V. J. Gopinath,Vetrivel Saravana Cinemas,114 minutes,"
M. Vellapandian
Sudalaikan Vellapandian
Subramanian Vellapandian", Babu Tamizh," Babu Tamizh
V. J. Gopinath", Babu Tamizh,"
Vetri
Monica Chinnakotla
Karunakaran
Rohini
Mime Gopi
Ashwini Chandrashekar", K. S. Sundaramurthy, Praveen Kumar, Praveen K. L.,0,28-Jun-19,6,0
106,Natchathira Jannalil,1,20,,2019,Jayamurugesan,Om Siva Sakthi Muruga Films,,,,,,,,,,,,7,
107,Enakku Innum Kalyanam Aakale,2,28,,2019,Murugalingam,Muthuvinayaka Movies,,,,,,,,,,,,7,
